,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
57,57,57,57,57,2018-06-11,409.769989,445.450012,408.459991,443.579987,443.579987,3579700,1.9237792529174675
58,58,58,58,58,2018-06-18,440.089996,450.92999299999997,426.98999000000003,427.290009,427.290009,3907300,2.0381239384420056
59,59,59,59,59,2018-06-25,420.73999000000003,432.619995,398.0,409.049988,409.049988,3885000,2.0445911784258506
60,60,60,60,60,2018-07-02,407.0,415.309998,392.200012,405.98999,405.98999,2242000,2.0075371267158584
61,61,61,61,61,2018-07-09,407.880005,421.10998499999994,399.179993,418.76001,418.76001,3472900,1.9695051588139947
62,62,62,62,62,2018-07-16,419.329987,433.55999800000006,417.059998,423.48001100000016,423.48001100000016,3579500,1.988854253146791
63,63,63,63,63,2018-07-23,423.5,436.420013,360.22000099999997,369.170013,369.170013,4657700,2.1471137852141857
64,64,64,64,64,2018-07-30,365.910004,396.97000099999997,344.109985,377.109985,377.109985,4885000,1.9789452087830557
65,65,65,65,65,2018-08-06,376.160004,387.790009,371.209991,377.829987,377.829987,2180200,1.9980943757118992
66,66,66,66,66,2018-08-13,377.670013,383.549988,353.670013,358.820007,358.820007,2203000,2.052979152859779
67,67,67,67,67,2018-08-20,358.269989,384.440002,354.519989,381.02999900000003,381.02999900000003,1971500,1.9417106473026025
68,68,68,68,68,2018-08-27,384.0,415.859985,378.339996,406.579987,406.579987,2494000,1.9371587662528014
69,69,69,69,69,2018-09-03,402.059998,413.790009,375.290009,377.48999,377.48999,2126200,2.077061638111252
70,70,70,70,70,2018-09-10,381.269989,399.119995,378.570007,395.670013,395.670013,2199100,1.9540525629876329
71,71,71,71,71,2018-09-17,395.600006,399.619995,366.910004,384.880005,384.880005,3738800,2.028034732539561
72,72,72,72,72,2018-09-24,381.02999900000003,455.39999400000005,378.0,449.75,449.75,4425600,1.8557643246247915
73,73,73,73,73,2018-10-01,452.89999400000005,459.75,405.480011,415.709991,415.709991,2992900,2.0818840290995073
74,74,74,74,74,2018-10-08,414.170013,415.549988,363.630005,384.77999900000003,384.77999900000003,3992000,2.080383575238795
75,75,75,75,75,2018-10-15,383.77999900000003,391.700012,360.630005,362.420013,362.420013,2803400,2.0616963335300142
76,76,76,76,76,2018-10-22,363.019989,376.799988,317.0,330.350006,330.350006,3664700,2.0970788751854905
77,77,77,77,77,2018-10-29,331.390015,399.880005,313.399994,384.130005,384.130005,4478100,1.859995318512023
78,78,78,78,78,2018-11-05,385.850006,427.700012,379.51001,405.170013,405.170013,2931900,1.9480711619198727
79,79,79,79,79,2018-11-12,388.98999,388.98999,301.119995,319.7799990000001,319.7799990000001,5331100,2.267027375905395
80,80,80,80,80,2018-11-19,316.0299990000001,316.320007,280.829987,299.410004,299.410004,2630500,2.0680337821978725
81,81,81,81,81,2018-11-26,301.399994,335.98999,295.200012,332.679993,332.679993,3609100,1.8999940191774622
82,82,82,82,82,2018-12-03,339.619995,344.98999,310.579987,317.519989,317.519989,2130900,2.0477450381871867
83,83,83,83,83,2018-12-10,317.899994,341.089996,312.0299990000001,316.190002,316.190002,2009300,2.0042062904949156
84,84,84,84,84,2018-12-17,312.570007,314.660004,275.48999,290.290009,290.290009,3959200,2.0892210968239007
85,85,85,85,85,2018-12-24,286.040009,324.7799990000001,274.019989,318.170013,318.170013,2035400,1.9123738791813798
86,86,86,86,86,2018-12-31,320.299988,329.910004,293.660004,313.440002,313.440002,2363300,2.0150906424509274
87,87,87,87,87,2019-01-07,313.5,342.97000099999997,305.559998,323.799988,323.799988,2981400,1.968004983372637
88,88,88,88,88,2019-01-14,321.899994,337.160004,314.059998,333.73999,333.73999,1943900,1.9702163291848844
89,89,89,89,89,2019-01-21,333.549988,353.920013,330.850006,349.369995,349.369995,2195400,1.9552623143839243
90,90,90,90,90,2019-01-28,348.899994,362.670013,326.480011,351.079987,351.079987,2746700,1.9951293378622577
91,91,91,91,91,2019-02-04,349.179993,352.440002,316.380005,341.209991,341.209991,3489800,2.0289264566112895
92,92,92,92,92,2019-02-11,343.519989,364.149994,342.549988,362.059998,362.059998,1767400,1.9424128400950829
93,93,93,93,93,2019-02-18,361.769989,364.309998,351.769989,352.600006,352.600006,1415600,2.0268292451475456
