,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
61,61,61,61,61,61,61,61,61,2018-07-09,198.139999,202.580002,197.399994,201.179993,185.12219199999998,8867800,1.9815091652776824
62,62,62,62,62,62,62,62,62,2018-07-16,201.550003,203.169998,198.25,201.949997,185.83076499999999,10275400,1.9961871551798043
63,63,63,63,63,63,63,63,63,2018-07-23,201.53999299999998,210.600006,190.570007,207.419998,190.864151,19897100,1.9736283817725233
64,64,64,64,64,64,64,64,64,2018-07-30,208.25,212.77999900000003,203.850006,207.28999299999998,190.744522,10679800,2.000627164862705
65,65,65,65,65,65,65,65,65,2018-08-06,207.449997,209.610001,201.0,201.96000700000002,185.839951,7136300,2.02639129439127
66,66,66,66,66,66,66,66,66,2018-08-13,202.020004,204.990005,197.110001,204.770004,188.425659,8574200,1.986277301630565
67,67,67,67,67,67,67,67,67,2018-08-20,205.720001,206.03999299999998,201.46000700000002,205.28999299999998,188.90416000000002,8306600,1.9974670514017698
68,68,68,68,68,68,68,68,68,2018-08-27,206.179993,211.72000099999997,205.850006,210.919998,195.385696,10208500,1.9733073911749228
69,69,69,69,69,69,69,69,69,2018-09-03,210.55000299999998,213.36999500000002,207.350006,212.57000699999998,196.914185,9162700,1.9922378089774446
70,70,70,70,70,70,70,70,70,2018-09-10,213.67999300000002,216.36999500000002,205.899994,207.880005,192.569595,13197100,2.0225611020165215
71,71,71,71,71,71,71,71,71,2018-09-17,207.46000700000002,217.86999500000002,207.300003,216.330002,200.397247,12786600,1.9609393199192038
72,72,72,72,72,72,72,72,72,2018-09-24,215.38999900000002,215.86999500000002,208.869995,210.710007,195.19116200000002,9923100,2.026671704301163
73,73,73,73,73,73,73,73,73,2018-10-01,212.399994,217.33999599999999,211.059998,213.190002,197.488495,9540200,1.988367207764274
74,74,74,74,74,74,74,74,74,2018-10-08,213.13000499999998,214.580002,195.929993,198.229996,183.630295,14434600,2.075467922624586
75,75,75,75,75,75,75,75,75,2018-10-15,197.820007,203.770004,197.419998,199.850006,185.130997,11083200,1.9918938706461686
76,76,76,76,76,76,76,76,76,2018-10-22,201.25,203.399994,181.979996,184.949997,171.3284,23603800,2.080562364107527
77,77,77,77,77,77,77,77,77,2018-10-29,187.850006,194.470001,183.16000400000001,192.809998,178.609497,13944700,1.959234473930133
78,78,78,78,78,78,78,78,78,2018-11-05,193.5,204.270004,192.21000700000002,201.100006,186.28894,12194400,1.9587766894447531
79,79,79,79,79,79,79,79,79,2018-11-12,200.570007,209.770004,196.240005,209.0,193.607101,13514400,1.962200985645933
80,80,80,80,80,80,80,80,80,2018-11-19,207.830002,208.050003,196.78999299999998,196.800003,182.305634,8730200,2.0619918537297988
81,81,81,81,81,81,81,81,81,2018-11-26,198.570007,207.919998,196.779999,207.919998,193.921951,11326100,1.9465179150299916
